No.,References,Cg,Cs,Cf,LL,PL,Type,E,Wopt,Pdmax
1,Al-Hussaini (2017),0,9.1,90.9,29.5,19.2,CL,595,16.2,1.76
2,Al-Khafaji (1993),0,27,73,32,15,CL,593,16,1.82
3,Al-Khafaji (1993),0,9,91,46,17,CL,593,18,1.75
4,Al-Khafaji (1993),0,6,94,36,18,CL,593,18.2,1.74
5,Al-Khafaji (1993),0,8,92,43,21,CL,593,18.2,1.73
6,Al-Khafaji (1993),0,8,92,40,19,CL,593,17.2,1.73
7,Al-Khafaji (1993),0,6,94,38,21,CL,593,19,1.72
8,Al-Khafaji (1993),0,6,94,43,20,CL,593,18.2,1.74
9,Al-Khafaji (1993),0,20,80,38,17,CL,593,16,1.83
10,Al-Khafaji (1993),0,16,84,37,16,CL,593,16.6,1.79
11,Al-Khafaji (1993),0,18,82,34,14,CL,593,16,1.82
12,Al-Khafaji (1993),0,19,81,33,18,CL,593,15,1.83
13,Al-Khafaji (1993),0,10,90,33,18,CL,593,17,1.8
14,Al-Khafaji (1993),0,12,88,39,16,CL,593,18.6,1.75
15,Al-Khafaji (1993),0,3,97,49,21,CL,593,20,1.67
16,Al-Khafaji (1993),3,3,94,49,20,CL,593,20,1.67
17,Al-Khafaji (1993),0,5,95,45,20,CL,593,19.5,1.68
18,Al-Khafaji (1993),0,13,87,34,17,CL,593,17,1.77
19,Al-Khafaji (1993),0,5,95,43,20,CL,593,18.5,1.72
20,Al-Khafaji (1993),0,8,92,43,21,CL,593,20,1.68
21,Al-Khafaji (1993),0,6,94,35,16,CL,593,18.4,1.75
22,Al-Khafaji (1993),0,4,96,38,17,CL,593,19.5,1.71
23,Al-Khafaji (1993),0,4,96,34,21,CL,593,17,1.77
24,Al-Khafaji (1993),0,10,90,33,20,CL,593,17.5,1.78
25,Al-Khafaji (1993),0,5,95,35,22,CL,593,17.5,1.74
26,Al-Khafaji (1993),0,27,73,27,17,CL,593,16,1.84
27,Al-Khafaji (1993),0,13,87,27,17,CL,593,17.3,1.78
28,Al-Khafaji (1993),0,10,90,30,19,CL,593,17.8,1.75
29,Al-Khafaji (1993),0,5,95,36,20,CL,593,18.7,1.73
30,Al-Khafaji (1993),0,9,91,31,18,CL,593,18,1.75
31,Al-Khafaji (1993),0,11,89,33,18,CL,593,18,1.74
32,Al-Khafaji (1993),0,10,90,32,18,CL,593,17,1.75
33,Al-Khafaji (1993),0,10,90,36,19,CL,593,20,1.69
34,Al-Khafaji (1993),0,7,93,39,22,CL,593,21.5,1.66
35,Al-Khafaji (1993),0,19,81,23,19,CL,593,17.5,1.75
36,Al-Khafaji (1993),0,12,88,31,18,CL,593,17.6,1.75
37,Al-Khafaji (1993),0,5,95,41,22,CL,593,20.5,1.64
38,Al-Khafaji (1993),0,19,81,36,18,CL,593,18.9,1.77
39,Al-Khafaji (1993),0,15,85,36,20,CL,593,18,1.75
40,Al-Khafaji (1993),0,20,80,35,16,CL,593,16.2,1.81
41,Al-Khafaji (1993),0,25,75,36,20,CL,593,16.2,1.77
42,Al-Khafaji (1993),0,22,78,39,18,CL,593,16.7,1.77
43,Al-Khafaji (1993),0,25,75,29,18,CL,593,17.2,1.76
44,Al-Khafaji (1993),0,15,85,31,17,CL,593,16.2,1.81
45,Al-Khafaji (1993),0,27,73,29,19,CL,593,16.5,1.81
46,Al-Khafaji (1993),0,28,72,28,18,CL,593,15.3,1.84
47,Al-Khafaji (1993),0,15,85,33,20,CL,593,18.5,1.73
48,Al-Khafaji (1993),0,10,90,35,20,CL,593,17,1.72
49,Al-Khafaji (1993),0,25,75,32,20,CL,593,19,1.72
50,Daniel and Wu (1993),2,65,33,30,18,CL,593,13.9,1.88
51,Daniel and Wu (1993),2,65,33,30,18,CL,2693,12.3,1.95
52,Delage et al. (1996）,0,4,96,37,19,CL,593,18,1.7
53,Di Sante (2019),3,4,93,49,27,CL,593,21,1.64
54,Di Sante (2019),0,10,90,42,24,CL,593,20,1.74
55,Duong et al. (2014),0,5,95,27,16,CL,593,16,1.78
56,Horpibulsuk et al. (2009),0,30.8,69.2,39.7,7.7,CL,593,15.4,1.8
57,Horpibulsuk et al. (2009),0,30.8,69.2,39.7,7.7,CL,1347,11.7,1.96
58,Horpibulsuk et al. (2009),0,30.8,69.2,39.7,7.7,CL,2693,10.2,2.04
59,Horpibulsuk et al. (2009),0,24.2,75.8,42.3,6.1,CL,593,16.5,1.79
60,Horpibulsuk et al. (2009),0,24.2,75.8,42.3,6.1,CL,1347,13.6,1.9
61,Horpibulsuk et al. (2009),0,24.2,75.8,42.3,6.1,CL,2693,11.7,1.97
62,Horpibulsuk et al. (2009),0,19.3,80.7,49.3,7.4,CL,593,17.7,1.72
63,Horpibulsuk et al. (2009),0,19.3,80.7,49.3,7.4,CL,2693,12.4,1.93
64,Inci et al. (2003),0,3,97,40,23,CL,593,22,1.62
65,Lim and Miller (2004),0,27,73,28,20,CL,593,14.6,1.81
66,Lim and Miller (2004),0,16,84,28,18,CL,593,17.6,1.76
67,Lim and Miller (2004),0,3,97,34,21,CL,593,19.6,1.71
68,Lim and Miller (2004),0,4,96,33,18,CL,593,15.5,1.78
69,Lim and Miller (2004),0,24,76,40,15,CL,593,16.8,1.76
70,Lim and Miller (2004),0,33,67,41,15,CL,593,15.7,1.71
71,Othman and Benson (1993),0,15,85,34,18,CL,593,16,1.84
72,Othman and Benson (1993),0,1,99,42,23,CL,593,18.5,1.71
73,Wang et al. (2017),0,46,54,32,12,CL,593,13.7,1.82
74,Al-Khafaji (1993),0,19,81,27,21,CL-ML,593,17,1.78
75,Agus et al. (2010),0,50,50,130,33,CH,600,20,1.63
76,Agus et al. (2010),0,30,70,130,33,CH,600,28,1.44
77,Agus et al. (2010),0,30,70,130,33,CH,1000,26.8,1.5
78,Agus et al. (2010),0,0,100,130,33,CH,1000,37,1.28
79,Al-Khafaji (1993),0,3,97,52,25,CH,593,19.8,1.67
80,Al-Khafaji (1993),0,1,99,54,25,CH,593,22.3,1.58
81,Al-Khafaji (1993),0,1,99,64,27,CH,593,24.8,1.51
82,Al-Khafaji (1993),0,2,98,56,25,CH,593,23.3,1.56
83,Al-Khafaji (1993),0,2,98,66,27,CH,593,24.5,1.52
84,Al-Khafaji (1993),0,2,98,63,26,CH,593,24.3,1.52
85,Al-Khafaji (1993),0,2,98,50,23,CH,593,23,1.59
86,Al-Khafaji (1993),0,2,98,62,28,CH,593,25.5,1.52
87,Al-Khafaji (1993),0,2,98,64,29,CH,593,26,1.49
88,Al-Khafaji (1993),0,2,98,59,27,CH,593,24.5,1.57
89,Al-Khafaji (1993),0,2,98,51,22,CH,593,22.5,1.61
90,Al-Khafaji (1993),0,3,97,54,25,CH,593,23,1.59
91,Al-Khafaji (1993),0,1,99,54,22,CH,593,22,1.65
92,Burton et al. (2014),0,17,83,69,26,CH,593,24.8,1.5
93,Di Sante (2019),1,9,90,50,23,CH,593,21,1.63
94,Fox et al. (2014),7,30.2,62.8,56,29,CH,593,20.3,1.54
95,Fox et al. (2014),20,26.2,53.9,56,29,CH,593,19,1.66
96,Horpibulsuk et al. (2009),0,11.3,88.7,152.9,48.3,CH,593,32.6,1.34
97,Horpibulsuk et al. (2009),0,11.3,88.7,152.9,48.3,CH,1347,28,1.44
98,Horpibulsuk et al. (2009),0,44.3,55.7,63.5,32.7,CH,2693,20.3,1.65
99,Inci et al. (2003),0,2,98,81,26,CH,593,25,1.56
100,Ito and Komine (2008),0,0,100,490,29,CH,551,31.6,1.31
101,Ito and Komine (2008),0,0,100,593,37,CH,551,43.7,1.09
102,Ito and Komine (2008),0,0,100,608,37.9,CH,551,42.6,1.11
103,Ito and Komine (2008),0,30,70,490,29,CH,551,24,1.43
104,Ito and Komine (2008),0,30,70,436,26.4,CH,551,21.7,1.56
105,Ito and Komine (2008),0,30,70,315,25.7,CH,551,21.2,1.61
106,Ito and Komine (2008),0,30,70,593,37,CH,551,27.1,1.35
107,Ito and Komine (2008),0,30,70,608,37.9,CH,551,24,1.3
108,Ito and Komine (2008),0,50,50,490,29,CH,551,17.8,1.61
109,Ito and Komine (2008),0,50,50,436,26.4,CH,551,17.1,1.69
110,Ito and Komine (2008),0,50,50,315,25.7,CH,551,16.4,1.73
111,Ito and Komine (2008),0,50,50,593,37,CH,551,23.5,1.5
112,Ito and Komine (2008),0,50,50,608,37.9,CH,551,24.5,1.48
113,Ito and Komine (2008),0,0,100,490,29,CH,2755,24,1.52
114,Ito and Komine (2008),0,0,100,436,26.4,CH,2755,22.1,1.57
115,Ito and Komine (2008),0,0,100,315,25.7,CH,2755,23,1.54
116,Ito and Komine (2008),0,0,100,593,37,CH,2755,35.6,1.29
117,Ito and Komine (2008),0,0,100,608,37.9,CH,2755,31,1.3
118,Ito and Komine (2008),0,30,70,490,29,CH,2755,16.1,1.74
119,Ito and Komine (2008),0,30,70,436,26.4,CH,2755,16,1.76
120,Ito and Komine (2008),0,30,70,315,25.7,CH,2755,15.4,1.74
121,Ito and Komine (2008),0,30,70,593,37,CH,2755,18.6,1.6
122,Ito and Komine (2008),0,30,70,608,37.9,CH,2755,23.4,1.51
123,Ito and Komine (2008),0,50,50,490,29,CH,2755,14.8,1.84
124,Ito and Komine (2008),0,50,50,436,26.4,CH,2755,12.1,1.87
125,Ito and Komine (2008),0,50,50,315,25.7,CH,2755,13.5,1.86
126,Ito and Komine (2008),0,50,50,593,37,CH,2755,14,1.72
127,Ito and Komine (2008),0,50,50,608,37.9,CH,2755,17.6,1.69
128,Kiliç et al. (2016),0.2,8.8,91,84.6,32.3,CH,593,24.5,1.51
129,Lim and Miller (2004),0,3,97,51,19,CH,593,19.4,1.66
130,Lim and Miller (2004),0,8,92,52,18,CH,593,20.8,1.59
131,Lim and Miller (2004),0,13,87,53,19,CH,593,18.6,1.68
132,Lim and Miller (2004),0,5,95,70,27,CH,593,25.3,1.49
133,Sawangsuriya et al. (2009),0.5,3.1,96.4,85,33,CH,593,27.5,1.47
134,Shafiee (2008),0,0,100,69,31,CH,593,30.8,1.42
135,Günaydın (2009),3.5,36.5,60,53,29.8,MH,593,19.4,1.64
136,Shelley and Daniel (1993),0,0,100,54,31,MH,593,31,1.4
137,Vassallo et al. (2007),0,33,67,50.4,32.5,MH,593,23.1,1.59
138,Zhang et al. (2015),0,4,96,64,26,MH,593,26,1.43
139,Al-Khafaji (1993),0,10,90,35,20,ML,593,17,1.77
140,Clariáand Rinaldi (2007),0,2,98,25.2,21.8,ML,605,19.8,1.64
141,Günaydın (2009),6.4,34.6,59,47.9,28.9,ML,593,18,1.67
142,Günaydın (2009),1.8,24.2,74,49.4,28.4,ML,593,22,1.67
143,Li (2009),0,20.4,79.6,47,32,ML,595,21,1.55
144,Lim and Miller (2004),0,14,86,47,28,ML,593,22,1.62
145,Taïbi et al. (2008),0,70,30,38.4,25,ML,2693,15.6,1.85
146,Vega and McCartney (2015),0,16.1,83.9,25,21,ML,593,13.6,1.66
147,Agus et al. (2010),0,70,30,130,33,SC,600,16,1.78
148,Agus et al. (2010),0,70,30,130,33,SC,1000,14,1.85
149,Akcanca and Aytekin (2012),0,83.5,16.5,510,30,SC,593,16.1,1.65
150,Akcanca and Aytekin (2012),0,75.2,24.8,510,30,SC,593,17,1.62
151,Akcanca and Aytekin (2012),0,67.3,32.7,510,30,SC,593,18,1.6
152,Akcanca and Aytekin (2012),0,58.7,41.3,510,30,SC,593,19,1.59
153,Günaydın (2009),30.4,45.6,24,35.3,19.7,SC,593,13.1,1.9
154,Günaydın (2009),0.8,52.3,47,43,23.4,SC,593,17.5,1.76
155,Günaydın (2009),3.6,59.4,37,39,22.6,SC,593,16,1.88
156,Günaydın (2009),7,51,42,41.4,23.8,SC,593,16.7,1.81
157,Günaydın (2009),1.7,71.3,27,33.8,18.7,SC,593,13.7,1.95
158,Günaydın (2009),1.2,63.8,35,36.5,21.3,SC,593,13.5,1.96
159,Günaydın (2009),0.7,57.4,42,38.2,22.9,SC,593,16.2,1.84
160,Günaydın (2009),11.9,51.1,37,48.8,25.9,SC,593,17.9,1.7
161,Günaydın (2009),4.5,47.5,48,50.6,24,SC,593,18.4,1.66
162,Günaydın (2009),11,44,45,46.9,26.2,SC,593,16.2,1.81
163,Günaydın (2009),13.8,45.3,41,41.7,19.9,SC,593,15.8,1.83
164,Günaydın (2009),33.9,33.1,33,46.7,19.8,SC,593,13.3,1.85
165,Günaydın (2009),11.5,57.5,31,33,17.3,SC,593,14.6,2.03
166,Günaydın (2009),12.1,43.9,44,40.3,19.5,SC,593,16.2,1.89
167,Günaydın (2009),11.6,56.4,32,36.1,22.3,SC,593,18,1.81
168,Günaydın (2009),13.6,55.4,31,45.5,24,SC,593,18.2,1.74
169,Günaydın (2009),24.3,37.7,38,37.7,20.2,SC,593,16.1,1.82
170,Günaydın (2009),30.7,32.3,37,43,24.5,SC,593,17.4,1.74
171,Günaydın (2009),7.9,69.1,23,33.9,18.9,SC,593,14.8,1.83
172,Günaydın (2009),23.6,30.9,45.5,42.5,26,SC,593,17.8,1.72
173,Günaydın (2009),3,57,40,33.7,23.5,SC,593,13.8,1.86
174,Günaydın (2009),23.3,37.7,39,34.1,21.8,SC,593,14.3,1.85
175,Günaydın (2009),13.3,45.8,41,32.5,19.8,SC,593,13.2,1.89
176,Günaydın (2009),13.7,53.3,33,33.6,20.4,SC,593,12.5,1.88
177,Günaydın (2009),9.1,52.9,38,30.4,16.9,SC,593,10.9,1.97
178,Günaydın (2009),9.5,45.5,45,36.8,15.9,SC,593,14.6,1.84
179,Günaydın (2009),32.1,49,19,35.2,20.1,SC,593,12.4,1.93
180,Günaydın (2009),30.8,54.2,15,23.1,15.7,SC,593,9.3,2.02
181,Günaydın (2009),13.2,59.8,27,25,16.5,SC,593,10.7,2.02
182,Günaydın (2009),27,49,24,32,16.2,SC,593,10,2.04
183,Günaydın (2009),11.2,41.8,47,41.4,24.6,SC,593,15.6,1.79
184,Günaydın (2009),24.7,25.3,50,49.1,26.6,SC,593,20.4,1.69
185,Horpibulsuk et al. (2009),26.4,45.8,27.8,61.1,14.8,SC,296,14.1,1.81
186,Horpibulsuk et al. (2009),26.4,45.8,27.8,61.1,14.8,SC,593,12.8,1.87
187,Horpibulsuk et al. (2009),26.4,45.8,27.8,61.1,14.8,SC,1347,11.4,1.78
188,Horpibulsuk et al. (2009),26.4,45.8,27.8,61.1,14.8,SC,2693,10.1,1.99
189,Inci et al. (2003),0,56,44,16,9,SC,593,9,2.09
190,Jotisankasa and Taworn (2016),2,53,45,21.8,16.1,SC,593,11.8,1.89
191,Sawangsuriya et al. (2009),0,59,41,28,14,SC,593,13.5,1.89
192,Heitor et al. (2013),0,89,11,25.5,15.5,SP-SC,155,14.5,1.83
193,Heitor et al. (2013),0,89,11,25.5,15.5,SP-SC,243,13.5,1.88
194,Heitor et al. (2013),0,89,11,25.5,15.5,SP-SC,530,12.1,1.93
195,Horpibulsuk et al. (2009),7.6,83.6,8.8,31.2,19.3,SP-SC,296,12.3,1.89
196,Horpibulsuk et al. (2009),7.6,83.6,8.8,31.2,19.3,SP-SC,593,10.8,1.95
197,Horpibulsuk et al. (2009),7.6,83.6,8.8,31.2,19.3,SP-SC,1347,9.8,2
198,Horpibulsuk et al. (2009),7.6,83.6,8.8,31.2,19.3,SP-SC,2693,8.8,2.06
199,Horpibulsuk et al. (2009),13.1,77.3,9.6,30.4,18.8,SW-SC,593,9.8,2.01
200,Horpibulsuk et al. (2009),13.1,77.3,9.6,30.4,18.8,SW-SC,1347,8.4,2.08
201,Horpibulsuk et al. (2009),13.1,77.3,9.6,30.4,18.8,SW-SC,2693,7.3,2.14
202,Miller et al. (2002),0,56,44,16,9,SM,593,9,2.04
203,Fleureau et al. (2003),7.8,72.2,20,32.6,25,SM,2693,13.2,1.9
204,Miller et al. (2002),0,56,44,16,9,SM,296,10.8,2.01
205,Chen et al. (2019),63.2,11.8,25,24,11,GC,2693,5.9,2.33
206,Günaydın (2009),33.6,28.9,37.5,46.3,26.1,GC,593,14.8,1.81
207,Günaydın (2009),31.8,26.7,41.5,39.2,25.2,GC,593,18.2,1.7
208,Günaydın (2009),38.2,27.8,34,33.2,15.8,GC,593,12.9,1.89
209,Günaydın (2009),34.8,32.7,32.5,37.8,20.4,GC,593,14.9,1.77
210,Günaydın (2009),67.1,19.9,13,28.2,15,GC,593,7.6,2.09
211,Günaydın (2009),36.2,25.8,38,27.6,17.5,GC,593,12.2,1.92
212,Günaydın (2009),37.8,17.3,45,50.9,26.1,GC,593,19.4,1.67
213,Millogo et al. (2012),56.5,33.2,10.3,22.5,12,GC,2693,6.6,2.17
214,Horpibulsuk et al. (2009),46.8,31.9,21.4,63.2,13.4,GC,296,12.3,1.86
215,Horpibulsuk et al. (2009),46.8,31.9,21.4,63.2,13.4,GC,593,11.4,1.9
216,Horpibulsuk et al. (2009),46.8,31.9,21.4,63.2,13.4,GC,2693,9.1,2.01
217,Horpibulsuk et al. (2009),48.7,41.9,9.4,37.8,14.7,GP-GC,296,9.2,2.06
218,Horpibulsuk et al. (2009),48.7,41.9,9.4,37.8,14.7,GP-GC,593,8.4,2.1
219,Horpibulsuk et al. (2009),48.7,41.9,9.4,37.8,14.7,GP-GC,1347,7.9,2.14
220,Horpibulsuk et al. (2009),48.7,41.9,9.4,37.8,14.7,GP-GC,2693,6.8,2.2
221,Horpibulsuk et al. (2009),47.1,44.3,8.6,29.5,14.1,GW-GC,296,7.5,2.16
222,Horpibulsuk et al. (2009),47.1,44.3,8.6,29.5,14.1,GW-GC,593,7,2.19
223,Horpibulsuk et al. (2009),47.1,44.3,8.6,29.5,14.1,GW-GC,1347,6.2,2.25
224,Horpibulsuk et al. (2009),47.1,44.3,8.6,29.5,14.1,GW-GC,2693,5.3,2.31
225,Günaydın (2009),31.4,28.6,40,40.2,26,GM,593,13.9,1.79
226,Günaydın (2009),31.3,28.7,40,40.2,26,GM,593,13.9,1.79
